sexe;preusuel;annais;dpt;nombre
1;_PRENOMS_RARES;2000;01;30
1;_PRENOMS_RARES;2001;01;60
1;_PRENOMS_RARES;2002;01;64
1;_PRENOMS_RARES;2003;01;56
1;_PRENOMS_RARES;2004;01;56
1;_PRENOMS_RARES;2005;01;51
1;_PRENOMS_RARES;2006;01;55
1;_PRENOMS_RARES;2007;01;62
1;_PRENOMS_RARES;2008;01;62
1;_PRENOMS_RARES;2009;01;64
1;_PRENOMS_RARES;2010;01;80
1;_PRENOMS_RARES;2011;01;79
1;_PRENOMS_RARES;2012;01;86
1;_PRENOMS_RARES;2013;01;86
1;_PRENOMS_RARES;2014;01;73
1;_PRENOMS_RARES;2015;01;82
1;_PRENOMS_RARES;2016;01;76
1;_PRENOMS_RARES;2017;01;79
1;_PRENOMS_RARES;2018;01;90
1;_PRENOMS_RARES;2019;01;94
1;_PRENOMS_RARES;2020;01;88
1;_PRENOMS_RARES;2021;01;101
1;AARON;2005;01;3
1;AARON;2007;01;4
1;AARON;2008;01;6
1;AARON;2009;01;7
1;AARON;2010;01;8
1;AARON;2011;01;10
1;AARON;2012;01;11
1;AARON;2013;01;12
1;AARON;2014;01;11
1;AARON;2015;01;16
1;AARON;2016;01;17
1;AARON;2017;01;18
1;AARON;2018;01;18
1;AARON;2019;01;6
1;AARON;2020;01;12
1;AARON;2021;01;13
1;ABDALLAH;2014;01;3
1;ABDALLAH;2016;01;4
1;ABDULLAH;2006;01;3
1;ABEL;2018;01;3
1;ABEL;2019;01;3
1;ADAM;2000;01;5
1;ADAM;2001;01;9
1;ADAM;2002;01;7
1;ADAM;2003;01;10
1;ADAM;2004;01;13
1;ADAM;2005;01;14
1;ADAM;2006;01;12
1;ADAM;2007;01;12
1;ADAM;2008;01;9
1;ADAM;2009;01;15
1;ADAM;2010;01;13
1;ADAM;2011;01;18
1;ADAM;2012;01;22
1;ADAM;2013;01;17
1;ADAM;2014;01;23
1;ADAM;2015;01;9
1;ADAM;2016;01;26
1;ADAM;2017;01;15
1;ADAM;2018;01;18
1;ADAM;2019;01;14
1;ADAM;2020;01;20
1;ADAM;2021;01;5
1;ADEL;2000;01;3
1;ADEL;2015;01;3
1;ADEM;2008;01;3
1;ADEM;2011;01;3
1;ADEM;2015;01;5
1;ADEM;2017;01;4
1;ADEM;2018;01;4
1;ADEM;2019;01;6
1;ADEM;2020;01;3
1;ADEM;2021;01;4
1;ADIL;2006;01;4
1;ADRIEN;2000;01;16
1;ADRIEN;2001;01;12
1;ADRIEN;2002;01;10
1;ADRIEN;2003;01;17
1;ADRIEN;2004;01;11
1;ADRIEN;2005;01;19
1;ADRIEN;2006;01;10
1;ADRIEN;2007;01;10
1;ADRIEN;2008;01;11
1;ADRIEN;2009;01;10
1;ADRIEN;2010;01;9
1;ADRIEN;2011;01;9
1;ADRIEN;2012;01;11
1;ADRIEN;2013;01;6
1;ADRIEN;2014;01;7
1;ADRIEN;2015;01;6
1;ADRIEN;2016;01;7
1;ADRIEN;2017;01;4
1;ADRIEN;2018;01;4
1;ADRIEN;2019;01;5
1;ADRIEN;2020;01;7
1;ADRIEN;2021;01;3
1;AHMED;2007;01;5
1;AHMED;2009;01;3
1;AHMED;2012;01;4
1;AHMED;2013;01;4
1;AHMED;2014;01;6
1;AHMED;2016;01;3
1;AHMET;2004;01;3
1;AHMET;2010;01;4
1;AIDEN;2017;01;4
1;AKRAM;2020;01;3
1;ALAN;2001;01;6
1;ALAN;2002;01;4
1;ALAN;2003;01;4
1;ALAN;2004;01;4
1;ALAN;2008;01;4
1;ALAN;2014;01;3
1;ALBAN;2001;01;6
1;ALBAN;2004;01;4
1;ALBAN;2007;01;5
1;ALBAN;2008;01;5
1;ALBAN;2010;01;4
1;ALBAN;2013;01;3
1;ALBAN;2014;01;4
1;ALBAN;2017;01;4
1;ALBIN;2008;01;3
1;ALBIN;2012;01;3
1;ALESSANDRO;2008;01;3
1;ALESSANDRO;2014;01;3
1;ALESSIO;2013;01;5
1;ALESSIO;2016;01;3
1;ALESSIO;2017;01;3
1;ALESSIO;2018;01;8
1;ALESSIO;2019;01;5
1;ALESSIO;2020;01;4
1;ALESSIO;2021;01;12
1;ALEX;2000;01;3
1;ALEX;2001;01;6
1;ALEX;2002;01;6
1;ALEX;2003;01;3
1;ALEX;2004;01;4
1;ALEX;2005;01;3
1;ALEX;2010;01;5
1;ALEX;2012;01;6
1;ALEX;2014;01;4
1;ALEX;2016;01;3
1;ALEX;2017;01;3
1;ALEX;2020;01;3
1;ALEXANDRE;2000;01;12
1;ALEXANDRE;2001;01;17
1;ALEXANDRE;2002;01;19
1;ALEXANDRE;2003;01;15
1;ALEXANDRE;2004;01;15
1;ALEXANDRE;2005;01;16
1;ALEXANDRE;2006;01;17
1;ALEXANDRE;2007;01;13
1;ALEXANDRE;2008;01;10
1;ALEXANDRE;2009;01;8
1;ALEXANDRE;2010;01;10
1;ALEXANDRE;2011;01;9
1;ALEXANDRE;2012;01;6
1;ALEXANDRE;2013;01;10
1;ALEXANDRE;2014;01;5
1;ALEXANDRE;2015;01;8
1;ALEXANDRE;2017;01;7
1;ALEXANDRE;2020;01;3
1;ALEXANDRE;2021;01;5
1;ALEXI;2010;01;3
1;ALEXIS;2000;01;35
1;ALEXIS;2001;01;28
1;ALEXIS;2002;01;21
1;ALEXIS;2003;01;28
1;ALEXIS;2004;01;22
1;ALEXIS;2005;01;17
1;ALEXIS;2006;01;22
1;ALEXIS;2007;01;16
1;ALEXIS;2008;01;16
1;ALEXIS;2009;01;13
1;ALEXIS;2010;01;15
1;ALEXIS;2011;01;13
1;ALEXIS;2012;01;12
1;ALEXIS;2013;01;12
1;ALEXIS;2014;01;10
1;ALEXIS;2015;01;8
1;ALEXIS;2016;01;4
1;ALEXIS;2018;01;8
1;ALEXIS;2019;01;4
1;ALEXY;2006;01;3
1;ALEXY;2009;01;3
1;ALEXY;2010;01;3
1;ALI;2002;01;3
1;ALI;2003;01;4
1;ALI;2004;01;3
1;ALI;2006;01;6
1;ALI;2008;01;4
1;ALI;2010;01;4
1;ALI;2012;01;8
1;ALI;2014;01;4
1;ALI;2016;01;6
1;ALI;2017;01;4
1;ALI;2018;01;7
1;ALI;2019;01;6
1;ALI;2020;01;7
1;ALI;2021;01;4
1;ALIX;2008;01;3
1;ALIX;2013;01;3
1;ALIX;2021;01;5
1;ALLAN;2000;01;3
1;ALLAN;2003;01;3
1;ALLAN;2005;01;3
1;ALLAN;2006;01;3
1;ALLAN;2007;01;3
1;ALOIS;2003;01;4
1;ALOIS;2004;01;3
1;ALOIS;2006;01;6
1;ALOÏS;2011;01;4
1;ALOÏS;2012;01;3
1;ALOÏS;2013;01;4
1;ALOÏS;2015;01;4
1;ALOÏS;2018;01;6
1;ALOÏS;2019;01;7
1;ALOYS;2012;01;4
1;AMAURY;2001;01;4
1;AMAURY;2002;01;4
1;AMAURY;2004;01;3
1;AMAURY;2005;01;4
1;AMAURY;2006;01;6
1;AMAURY;2008;01;5
1;AMAURY;2009;01;6
1;AMAURY;2010;01;9
1;AMAURY;2011;01;5
1;AMAURY;2014;01;6
1;AMAURY;2015;01;7
1;AMAURY;2016;01;4
1;AMAURY;2018;01;3
1;AMAURY;2020;01;5
1;AMAURY;2021;01;3
1;AMINE;2000;01;3
1;AMINE;2001;01;3
1;AMINE;2003;01;4
1;AMINE;2004;01;8
1;AMINE;2005;01;10
1;AMINE;2006;01;6
1;AMINE;2007;01;6
1;AMINE;2010;01;9
1;AMINE;2011;01;4
1;AMINE;2012;01;8
1;AMINE;2013;01;4
1;AMINE;2014;01;4
1;AMINE;2015;01;4
1;AMINE;2016;01;3
1;AMINE;2017;01;7
1;AMINE;2018;01;4
1;AMINE;2019;01;6
1;AMINE;2020;01;3
1;AMIR;2007;01;3
1;AMIR;2013;01;4
1;AMIR;2014;01;4
1;AMIR;2015;01;6
1;AMIR;2016;01;6
1;AMIR;2017;01;9
1;AMIR;2018;01;8
1;AMIR;2019;01;14
1;AMIR;2020;01;10
1;AMIR;2021;01;4
1;ANAS;2000;01;4
1;ANAS;2005;01;3
1;ANAS;2007;01;3
1;ANAS;2008;01;3
1;ANAS;2009;01;4
1;ANAS;2012;01;5
1;ANAS;2013;01;3
1;ANAS;2016;01;3
1;ANAS;2017;01;4
1;ANAS;2018;01;3
1;ANAS;2021;01;3
1;ANATOLE;2011;01;4
1;ANATOLE;2016;01;3
1;ANDREA;2012;01;3
1;ANDREA;2013;01;6
1;ANDREA;2017;01;3
1;ANDREA;2021;01;5
1;ANDRÉA;2007;01;3
1;ANDRÉA;2008;01;4
1;ANDRÉA;2015;01;4
1;ANDRÉA;2019;01;6
1;ANDREW;2020;01;3
1;ANDY;2000;01;3
1;ANDY;2003;01;3
1;ANDY;2004;01;4
1;ANGE;2014;01;3
1;ANGEL;2002;01;3
1;ANGELO;2011;01;3
1;ANGELO;2019;01;3
1;ANGELO;2020;01;3
1;ANIS;2003;01;3
1;ANIS;2004;01;3
1;ANIS;2005;01;5
1;ANIS;2007;01;3
1;ANIS;2008;01;4
1;ANIS;2009;01;3
1;ANIS;2011;01;3
1;ANIS;2012;01;3
1;ANIS;2014;01;4
1;ANIS;2016;01;3
1;ANIS;2018;01;4
1;ANSELME;2017;01;3
1;ANTHONY;2000;01;21
1;ANTHONY;2001;01;23
1;ANTHONY;2002;01;22
1;ANTHONY;2003;01;16
1;ANTHONY;2004;01;11
1;ANTHONY;2005;01;12
1;ANTHONY;2006;01;11
1;ANTHONY;2007;01;7
1;ANTHONY;2008;01;6
1;ANTHONY;2009;01;7
1;ANTHONY;2010;01;4
1;ANTHONY;2011;01;3
1;ANTHONY;2012;01;5
1;ANTHONY;2013;01;3
1;ANTHONY;2014;01;4
1;ANTHONY;2017;01;3
1;ANTOINE;2000;01;26
1;ANTOINE;2001;01;29
1;ANTOINE;2002;01;15
1;ANTOINE;2003;01;21
1;ANTOINE;2004;01;16
1;ANTOINE;2005;01;22
1;ANTOINE;2006;01;16
1;ANTOINE;2007;01;14
1;ANTOINE;2008;01;14
1;ANTOINE;2009;01;20
1;ANTOINE;2010;01;15
1;ANTOINE;2011;01;18
1;ANTOINE;2012;01;24
1;ANTOINE;2013;01;11
1;ANTOINE;2014;01;11
1;ANTOINE;2015;01;10
1;ANTOINE;2016;01;12
1;ANTOINE;2017;01;10
1;ANTOINE;2018;01;9
1;ANTOINE;2019;01;11
1;ANTOINE;2020;01;4
1;ANTOINE;2021;01;5
1;ANTON;2007;01;3
1;ANTON;2019;01;3
1;ANTONIN;2000;01;6
1;ANTONIN;2001;01;12
1;ANTONIN;2002;01;12
1;ANTONIN;2003;01;5
1;ANTONIN;2004;01;7
1;ANTONIN;2005;01;13
1;ANTONIN;2006;01;8
1;ANTONIN;2007;01;6
1;ANTONIN;2008;01;9
1;ANTONIN;2009;01;3
1;ANTONIN;2010;01;6
1;ANTONIN;2011;01;8
1;ANTONIN;2012;01;6
1;ANTONIN;2013;01;4
1;ANTONIN;2014;01;4
1;ANTONIN;2015;01;7
1;ANTONIN;2016;01;9
1;ANTONIN;2017;01;4
1;ANTONIN;2018;01;5
1;ANTONIN;2019;01;9
1;ANTONIN;2020;01;4
1;ANTONY;2001;01;4
1;ARDA;2007;01;4
1;ARDA;2008;01;3
1;ARDA;2010;01;3
1;ARMAND;2003;01;4
1;ARMAND;2007;01;3
1;ARMAND;2013;01;4
1;ARMAND;2018;01;4
1;ARMAND;2021;01;4
1;ARNAUD;2000;01;8
1;ARNAUD;2001;01;7
1;ARNAUD;2002;01;3
1;ARNAUD;2004;01;3
1;ARNAUD;2005;01;7
1;ARNAUD;2007;01;3
1;ARON;2014;01;3
1;ARON;2018;01;4
1;ARSENE;2008;01;3
1;ARSÈNE;2020;01;3
1;ARSÈNE;2021;01;3
1;ARTHUR;2000;01;17
1;ARTHUR;2001;01;14
1;ARTHUR;2002;01;24
1;ARTHUR;2003;01;21
1;ARTHUR;2004;01;12
1;ARTHUR;2005;01;11
1;ARTHUR;2006;01;16
1;ARTHUR;2007;01;19
1;ARTHUR;2008;01;19
1;ARTHUR;2009;01;27
1;ARTHUR;2010;01;28
1;ARTHUR;2011;01;21
1;ARTHUR;2012;01;18
1;ARTHUR;2013;01;26
1;ARTHUR;2014;01;15
1;ARTHUR;2015;01;23
1;ARTHUR;2016;01;18
1;ARTHUR;2017;01;19
1;ARTHUR;2018;01;15
1;ARTHUR;2019;01;22
1;ARTHUR;2020;01;11
1;ARTHUR;2021;01;16
1;AUGUSTE;2018;01;3
1;AUGUSTE;2019;01;3
1;AUGUSTE;2021;01;3
1;AUGUSTIN;2002;01;3
1;AUGUSTIN;2006;01;5
1;AUGUSTIN;2007;01;7
1;AUGUSTIN;2008;01;4
1;AUGUSTIN;2009;01;4
1;AUGUSTIN;2010;01;3
1;AUGUSTIN;2011;01;11
1;AUGUSTIN;2012;01;3
1;AUGUSTIN;2013;01;3
1;AUGUSTIN;2014;01;4
1;AUGUSTIN;2015;01;8
1;AUGUSTIN;2016;01;11
1;AUGUSTIN;2017;01;13
1;AUGUSTIN;2018;01;6
1;AUGUSTIN;2019;01;7
1;AUGUSTIN;2020;01;7
1;AUGUSTIN;2021;01;7
1;AURÉLIEN;2000;01;6
1;AURÉLIEN;2001;01;10
1;AURÉLIEN;2002;01;7
1;AURÉLIEN;2003;01;7
1;AURÉLIEN;2004;01;7
1;AURÉLIEN;2005;01;6
1;AURÉLIEN;2006;01;10
1;AURÉLIEN;2007;01;6
1;AURÉLIEN;2008;01;6
1;AURÉLIEN;2009;01;4
1;AURÉLIEN;2010;01;4
1;AURÉLIEN;2015;01;4
1;AXEL;2000;01;14
1;AXEL;2001;01;15
1;AXEL;2002;01;17
1;AXEL;2003;01;20
1;AXEL;2004;01;18
1;AXEL;2005;01;14
1;AXEL;2006;01;16
1;AXEL;2007;01;20
1;AXEL;2008;01;16
1;AXEL;2009;01;22
1;AXEL;2010;01;23
1;AXEL;2011;01;21
1;AXEL;2012;01;20
1;AXEL;2013;01;13
1;AXEL;2014;01;14
1;AXEL;2015;01;10
1;AXEL;2016;01;25
1;AXEL;2017;01;9
1;AXEL;2018;01;15
1;AXEL;2019;01;12
1;AXEL;2020;01;16
1;AXEL;2021;01;8
1;AYAZ;2015;01;3
1;AYAZ;2020;01;3
1;AYDEN;2014;01;4
1;AYDEN;2015;01;6
1;AYDEN;2016;01;4
1;AYDEN;2017;01;7
1;AYDEN;2019;01;7
1;AYDEN;2020;01;10
1;AYDEN;2021;01;7
1;AYLAN;2021;01;3
1;AYMAN;2008;01;4
1;AYMAN;2011;01;3
1;AYMEN;2011;01;5
1;AYMEN;2012;01;3
1;AYMEN;2014;01;7
1;AYMEN;2019;01;4
1;AYMEN;2020;01;8
1;AYMERIC;2000;01;6
1;AYMERIC;2001;01;4
1;AYMERIC;2002;01;4
1;AYMERIC;2003;01;4
1;AYMERIC;2004;01;6
1;AYMERIC;2006;01;4
1;AYMERIC;2007;01;4
1;AYMERIC;2011;01;3
1;AYOUB;2000;01;3
1;AYOUB;2003;01;4
1;AYOUB;2005;01;3
1;AYOUB;2006;01;4
1;AYOUB;2007;01;5
1;AYOUB;2008;01;3
1;AYOUB;2010;01;8
1;AYOUB;2012;01;5
1;AYOUB;2014;01;6
1;AYOUB;2015;01;4
1;AYOUB;2016;01;7
