sexe;preusuel;annais;dpt;nombre
1;_PRENOMS_RARES;XXXX;XX;1058
1;A;XXXX;XX;27
1;AADAM;XXXX;XX;32
1;AADEL;XXXX;XX;57
1;AADIL;XXXX;XX;184
1;AAHIL;XXXX;XX;25
1;AAKASH;XXXX;XX;28
1;AAMIR;XXXX;XX;20
1;AARAV;XXXX;XX;24
1;AARISH;XXXX;XX;20
1;AARON;XXXX;XX;895
1;AARONE;XXXX;XX;177
1;AARONN;XXXX;XX;111
1;AAROUN;XXXX;XX;51
1;AARRON;XXXX;XX;21
1;AARUSH;XXXX;XX;36
1;AATHIRAN;XXXX;XX;20
1;AAYAN;XXXX;XX;90
1;AAZIZ;XXXX;XX;30
1;AB;XXXX;XX;72
1;AB-DEL;XXXX;XX;42
1;ABA;XXXX;XX;24
1;ABABACAR;XXXX;XX;75
1;ABAKAR;XXXX;XX;34
1;ABAN;XXXX;XX;21
1;ABANE;XXXX;XX;21
1;ABAS;XXXX;XX;49
1;ABASS;XXXX;XX;112
1;ABASSE;XXXX;XX;117
1;ABBA;XXXX;XX;22
1;ABBAS;XXXX;XX;265
1;ABBASS;XXXX;XX;21
1;ABBES;XXXX;XX;277
1;ABD;XXXX;XX;1018
1;ABD'ALLAH;XXXX;XX;51
1;ABD-ALLAH;XXXX;XX;162
1;ABD-AR-RAHMAN;XXXX;XX;20
1;ABD-EL;XXXX;XX;319
1;ABD-EL-KADER;XXXX;XX;51
1;ABD-EL-KRIM;XXXX;XX;24
1;ABD-EL-RAHMAN;XXXX;XX;21
1;ABD-RAHIM;XXXX;XX;20
1;ABD-RAHMAN;XXXX;XX;41
1;ABD-SAMAD;XXXX;XX;25
1;ABDALA;XXXX;XX;75
1;ABDALAH;XXXX;XX;212
1;ABDALAYE;XXXX;XX;41
1;ABDALHA;XXXX;XX;28
1;ABDALLA;XXXX;XX;87
1;ABDALLAH;XXXX;XX;1744
1;ABDALRAHMAN;XXXX;XX;25
1;ABDARAHIM;XXXX;XX;21
1;ABDARAHMAN;XXXX;XX;37
1;ABDARAHMANE;XXXX;XX;35
1;ABDARRAHMAN;XXXX;XX;43
1;ABDASSAMAD;XXXX;XX;28
1;ABDE;XXXX;XX;183
1;ABDEL;XXXX;XX;1912
1;ABDEL-AKIM;XXXX;XX;84
1;ABDEL-ALI;XXXX;XX;107
1;ABDEL-AZIZ;XXXX;XX;232
1;ABDEL-DJALIL;XXXX;XX;48
1;ABDEL-GHANI;XXXX;XX;52
1;ABDEL-HADI;XXXX;XX;39
1;ABDEL-HAFID;XXXX;XX;106
1;ABDEL-HAK;XXXX;XX;31
1;ABDEL-HAKIM;XXXX;XX;409
1;ABDEL-HALIM;XXXX;XX;169
1;ABDEL-HAMID;XXXX;XX;218
1;ABDEL-ILAH;XXXX;XX;85
1;ABDEL-ILLAH;XXXX;XX;76
1;ABDEL-JALIL;XXXX;XX;107
1;ABDEL-KADER;XXXX;XX;446
1;ABDEL-KARIM;XXXX;XX;445
1;ABDEL-KRIM;XXXX;XX;120
1;ABDEL-LATIF;XXXX;XX;45
1;ABDEL-MADJID;XXXX;XX;94
1;ABDEL-MAGID;XXXX;XX;21
1;ABDEL-MAJID;XXXX;XX;121
1;ABDEL-MALEK;XXXX;XX;185
1;ABDEL-MALIK;XXXX;XX;381
1;ABDEL-MOUMEN;XXXX;XX;25
1;ABDEL-NACER;XXXX;XX;36
1;ABDEL-NASSER;XXXX;XX;80
1;ABDEL-NOUR;XXXX;XX;77
1;ABDEL-RAHIM;XXXX;XX;96
1;ABDEL-RAHMAN;XXXX;XX;147
1;ABDEL-RAHMANE;XXXX;XX;86
1;ABDEL-RAHMEN;XXXX;XX;35
1;ABDEL-RANI;XXXX;XX;50
1;ABDEL-RAOUF;XXXX;XX;47
1;ABDEL-SALEM;XXXX;XX;33
1;ABDEL-SAMAD;XXXX;XX;83
1;ABDEL-WAHAB;XXXX;XX;56
1;ABDEL-WAHEB;XXXX;XX;30
1;ABDEL-WAHID;XXXX;XX;41
1;ABDEL-WAKIL;XXXX;XX;20
1;ABDELA;XXXX;XX;75
1;ABDELAALI;XXXX;XX;37
1;ABDELADIM;XXXX;XX;26
1;ABDELAFID;XXXX;XX;34
1;ABDELAH;XXXX;XX;224
1;ABDELAKIM;XXXX;XX;106
1;ABDELALI;XXXX;XX;462
1;ABDELALIM;XXXX;XX;26
1;ABDELAMID;XXXX;XX;26
1;ABDELATIF;XXXX;XX;414
1;ABDELAZIZ;XXXX;XX;1337
1;ABDELAZIZE;XXXX;XX;120
1;ABDELAZZIZ;XXXX;XX;39
1;ABDELBAKI;XXXX;XX;76
1;ABDELBASET;XXXX;XX;22
1;ABDELBASSET;XXXX;XX;102
1;ABDELDJALIL;XXXX;XX;144
1;ABDELDJALLIL;XXXX;XX;25
1;ABDELFATAH;XXXX;XX;118
1;ABDELFATTAH;XXXX;XX;67
1;ABDELFETAH;XXXX;XX;38
1;ABDELFETTAH;XXXX;XX;25
1;ABDELGHAFOUR;XXXX;XX;42
1;ABDELGHANI;XXXX;XX;486
1;ABDELHA;XXXX;XX;38
1;ABDELHADI;XXXX;XX;362
1;ABDELHAFED;XXXX;XX;25
1;ABDELHAFID;XXXX;XX;514
1;ABDELHAFIDE;XXXX;XX;30
1;ABDELHAK;XXXX;XX;779
1;ABDELHAKE;XXXX;XX;39
1;ABDELHAKIM;XXXX;XX;1059
1;ABDELHAKIME;XXXX;XX;42
1;ABDELHALI;XXXX;XX;45
1;ABDELHALIM;XXXX;XX;534
1;ABDELHALIME;XXXX;XX;40
1;ABDELHAMED;XXXX;XX;54
1;ABDELHAMID;XXXX;XX;831
